row_id,price,property_size_sqft,ppsf,property_type,building_name,developer,city,state,bedroom,bathroom,parking_lot,completion_year,number_of_floors,total_units,validity_status,flag_reason,recommended_action,audit_evidence,description,exact_duplicate_flag,possible_repeat_flag,possible_repeat_group,possible_repeat_identical_description,premium_over_850k,canonical_top5_flag,canonical_top1_flag,ppsf_extreme_diagnostic_flag,valid_but_extreme_flag,premium_text_feature_count,premium_context_supported,optional_missing_count,explicit_description_sizes,explicit_description_prices,original_oof_prediction_rm,original_oof_absolute_error_rm,original_oof_fold
98187451,340000,1000.0,340.0,Service Residence,Kenwingston Platz,Kenwingston Group,Kuala Lumpur,Kuala Lumpur,4.0,2.0,2.0,,,,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies. | Passed critical, physical-domain, contradiction, repeat, and parsing checks.","iconic building @ kl setapak new launching & latest condo !!!!! 🔥 house with luxury hotel concept 😍👑 💎 freehold 🔑 dual key 🛌 2 / 3 / 4 rooms 💰affordable and low entry price 💼 100% full furnish, move in with a luggage whatsapp / call show contact number ( eugine ) for more details & showroom viewing 🔥 whatsapp / call show contact number ( eugine ) for more details & showroom viewing 🔥 whatsapp / call show contact number ( eugine ) for more details & showroom viewing 🔥 whatsapp link : https://hotnewcondo.wasap.my https://hotnewcondo.wasap.my https://hotnewcondo.wasap.my 🏝5 🌟 facilities : sky lounge, sky bridge, sky garden 🚗 6km to klcc/ bkt bintang 🍱 food heaven 📈 freehold appreciation 👑 luxury hotel drop-off lobby 🏊🏻 infinity pool 🏡 sky garden, sky lounge, sky bridge facilities: level 10 – elevated lawn for yoga, jogging trail, jacuzzi, infinity pool, wading pool, pool deck, play land, sunbathe terrace, sun lounge, gymnamsium, viewing deck, squash, futsal, half basketball court, central lobby and relaxing yard. level 50 – viewing terrace, barbeque area, gathering space, turf mound, multistep seating lounge, rooftop lounge and open stage. whatsapp / call show contact number ( eugine ) for more details & showroom viewing 🔥 whatsapp / call show contact number ( eugine ) for more details & showroom viewing 🔥 whatsapp / call show contact number ( eugine ) for more details & showroom viewing 🔥 whatsapp link : https://hotnewcondo.wasap.my https://hotnewcondo.wasap.my https://hotnewcondo.wasap.my continue reading property highlights new! bedroom 4 bathroom 2 property size 1000 sq.ft. nearby school sekolah menengah pendidikan khas cacat penglihatan nearby mall setapak central see more details",False,False,,False,False,False,False,False,False,2,True,5,[1000.0],[],631517.9282316606,291517.9282316606,1
101683090,250000,980.0,255.10204081632654,Apartment,Kenanga (Park View Court),Unknown,Melaka City,Melaka,3.0,2.0,1.0,,,,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies. | Passed critical, physical-domain, contradiction, repeat, and parsing checks.","for sale @ rm250,000 introduction: ~ pangsapuri kenanga @ kampung lapan ~ 980 sqft ~ 3 bedrooms & 2 bathrooms ~ bathroom with water heather ~ master bedroom with aircond ~ walk up apartment ~ bare unit facilities ~ enter with access card ~ swimming pool ~ nice environment nearby: - strategic location - jonker walk, unesco world heritage site - dataran pahlawan - hospital mahkota - kota laksamana - melaka central (bus station) >>> https://www.youtube.com/@propertysoldier6688 >>> https://www.facebook.com/propertysoldiermelaka >>> you may call me up for other house inquiries, we have other houses ready for sale, melaka property wanted for sale: house, apartment, condominium, shop, factory, land and etc. #free consultation loan service & lawyer advise my profile: we are a property management company. in this industry for over eight years. provide service : * sales & purchase * super host home stay management * long-term contract renting * house cleaning service * design & renovation continue reading",False,False,,False,False,False,False,False,False,1,True,5,[980.0],[250000.0],296161.8582283794,46161.858228379395,5
103792905,230000,1000.0,230.0,Apartment,Sri Lavender Apartment,TLS Group,Kajang,Selangor,3.0,2.0,1.0,2007.0,13.0,445.0,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"Passed critical, physical-domain, contradiction, repeat, and parsing checks.","[below market] sri lavender apartment,tmn sepakat indah,100% full loan rm 230,000 (💥below market value💥) market value: rm 330,000 # lppsa | kwsp ac 2 # mark up price available # 100% full loan available # cash back available # below market price please contact me for arrange viewing show contact number please contact me for arrange viewing show contact number please contact me for arrange viewing show contact number ============================= property type: apartment title type: freehold bedrooms: 3 bathroom: 2 size: 1000 sq.ft. property details: - 7th floor with balcony - freehold, open title & strata ready - 1 covered parking lot(can be seen from the unit ) with smart access card - corner unit with awesome scenery from any angle of the unit. ============================= facilities: mini market, playground, 24 hour security, balcony/patio, cable tv location : - 3 min to silk highway - 7 min to plus highway/uniten - 5 min to bandar baru bangi(nearest to seksyen 7) - 10 min to ioi mall/hospital serdang/upm - 10 min to kajang/mrt stadium kajang public transport - 2 min walking distance to smart selangor(free) bus stop/mrt feeder bus(mrt kajang) please contact me for arrange viewing show contact number please contact me for arrange viewing show contact number please contact me for arrange viewing show contact number continue reading property highlights new! bedroom 3 bathroom 2 property size 1000 sq.ft. see more details",False,False,,False,False,False,False,False,False,2,True,0,[1000.0],"[230000.0, 330000.0]",248243.38743425763,18243.38743425763,3
103806240,158000,592.0,266.8918918918919,Flat,Flat Pandan Indah,Unknown,Ampang,Selangor,3.0,1.0,1.0,,,,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"OPTIONAL_MISSING_COUNT=6; retained with existing fold-safe handling unless another independent rule applies. | Passed critical, physical-domain, contradiction, repeat, and parsing checks.","flat pandan indah jalan pandan indah 3/3 non bumi lot, 100% loan ===================== • walk up flat • non bumi lot • leasehold with strata title • build up 592sqft • 3 bedroom,1 bathroom • flooring fully tiles • build in concreate table top • well maintain and good condition henrick tan show contact number show contact number senior negotiator",False,False,,False,False,False,False,False,False,0,True,6,[592.0],[],170261.87719041633,12261.87719041633,4
103806234,305000,467.0,653.1049250535332,Studio,i-Soho @ i-City,i-Berhad,Shah Alam,Selangor,1.0,1.0,1.0,,43.0,956.0,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"OPTIONAL_MISSING_COUNT=2; retained with existing fold-safe handling unless another independent rule applies. | Passed critical, physical-domain, contradiction, repeat, and parsing checks.","* open-concept soho with balcony, unblock view * fully furnished studio unit 467 sq feet *consists of built in kitchen cabinets with induction cookers, microwave oven, washing machine, fridge, led tv, aircond, ceiling fan, water heater, alarm bell system, dining table sets with chairs, curtains, bed with mattress plus wardrobe & sofa, installed iron grill for front door *best for the newly married property highlights new! bedroom 1 bathroom 1 property size 467 sq.ft. nearby school sekolah jenis kebangsaan (t) ladang midlands nearby mall i-soho i-city see more details",False,False,,False,False,False,False,False,False,6,True,2,[467.0],[],308251.9670532858,3251.9670532858,5
103739787,425000,1100.0,386.3636363636364,Condominium,D'Piazza Condominium,X-Scan Penang Sdn Bhd,Bayan Baru,Penang,3.0,2.0,1.0,2010.0,19.0,706.0,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"Passed critical, physical-domain, contradiction, repeat, and parsing checks.","d'piazza, bayan baru for sale details: ✅1100 sqf ✅3 bedroom ✅2bathroom ✅1 car park 📌original unit, airconds, heater interested please call show contact number",False,False,,False,False,False,False,False,False,0,True,0,[],[],474653.1833502004,49653.183350200416,4
103690767,230000,780.0,294.87179487179486,Condominium,Pangsapuri Sri Alpinia,IOI Properties Group Berhad,Puchong,Selangor,3.0,2.0,1.0,,5.0,281.0,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"OPTIONAL_MISSING_COUNT=3; retained with existing fold-safe handling unless another independent rule applies. | Passed critical, physical-domain, contradiction, repeat, and parsing checks.","sri alpinia apartment puchong for sale full loan can be arranged!! 🔥🔥 full loan can be arranged!! 🔥🔥 no need 10% 🔥🔥 no need 10% 🔥🔥 unit details: - 3 rooms 2 baths ✅ - 1 parking ✅ - freehold ✅ - non bumi lot ✅ *** for serious buyer only *** - full loan applicable 🔥 - booking 1k - refund if loan x pass 🔥 - lawyer and banker can be arranged 🔥 *** picture displayed is not actual unit *** *** the pictures is just for environment display only not the actual unit *** please: call/sms/whatsapp/email for more information. thank you! - (kayden fong : show contact number ) (kayden fong : show contact number ) (kayden fong : show contact number ) email = ****@***.*** vestcom realty e(3)1484 d-12 (level 2) cheras centrepoint medan connaught, 56000 kuala lumpur. *** owner have unit can contact me as well *** continue reading",False,False,,False,False,False,False,False,False,0,True,3,[],[],239785.3558655688,9785.355865568796,3
103615852,200000,852.0,234.7417840375587,Apartment,Vista Lavender,Talam Transform Berhad,Puchong,Selangor,3.0,2.0,1.0,2000.0,12.0,,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"OPTIONAL_MISSING_COUNT=2; retained with existing fold-safe handling unless another independent rule applies. | Passed critical, physical-domain, contradiction, repeat, and parsing checks.","vista lavender apartment puchong for sale 0% downpayment!! 🔥🔥 0% downpayment!! 🔥🔥 low booking (refundable if loan rejected) 😍🔥🔥 low booking (refundable if loan rejected) 😍🔥🔥 unit details: - 3 rooms 2 baths ✅ - 1 parking ✅ - low booking, 0% deposit ✅ *** for serious buyer only *** - low deposit and booking!!! 🌹💎 - full loan applicable!!! 🌹💎 - lawyer and banker can be arranged!!! 🌹💎 *** picture displayed is not actual unit *** *** the pictures is just for environment display only not the actual unit *** please: call/sms/whatsapp/email for more information. thank you! - (kayden fong : show contact number ) (kayden fong : show contact number ) (kayden fong : show contact number ) email = ****@***.*** vestcom realty e(3)1484 d-12 (level 2) cheras centrepoint medan connaught, 56000 kuala lumpur. *** owner have unit can contact me as well *** continue reading property highlights new! bedroom 3 bathroom 2 property size 852 sq.ft. nearby school kafa integrasi al-falah see more details",False,False,,False,False,False,False,False,False,0,True,2,[852.0],[],230967.81505501,30967.815055009996,2
103615849,275000,918.0,299.56427015250546,Apartment,Pangsapuri Damai,Ikram Ikhlas,Shah Alam,Selangor,3.0,2.0,1.0,,,,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"OPTIONAL_MISSING_COUNT=5; retained with existing fold-safe handling unless another independent rule applies. | Passed critical, physical-domain, contradiction, repeat, and parsing checks.","pangsapuri damai seksyen 25 shah alam for sale 0% downpayment!! 🔥🔥 0% downpayment!! 🔥🔥 low booking (refundable if loan rejected) 😍🔥🔥 low booking (refundable if loan rejected) 😍🔥🔥 unit details: - 3 rooms 2 baths ✅ - 1 parkings ✅ - low booking, 0% deposit ✅ facilities: gymnasium room multi-purpose hall playground 24 hours security surau *** for serious buyer only*** - low deposit and booking!!! 🌹💎 - full loan applicable!!! 🌹💎 - lawyer and banker can be arranged!!! 🌹💎 *** picture displayed is not actual unit *** *** the pictures is just for environment display only not the actual unit *** please: call/sms/whatsapp/email for more information. thank you! - (kayden fong : ) (kayden fong : ) (kayden fong : ) email = vestcom realty e(3)1484 d-12 (level 2) cheras centrepoint medan connaught, 56000 kuala lumpur. *** owner have unit can contact me as well *** continue reading property highlights new! bedroom 3 bathroom 2 property size 918 sq.ft. nearby school sekolah kebangsaan taman sri muda nearby mall plaza sri muda see more details",False,False,,False,False,False,False,False,False,0,True,5,[918.0],[],320617.715120344,45617.715120344015,3
102460346,300000,850.0,352.94117647058823,Apartment,Alam Prima,Syarikat Perumahan Negara Berhad,Shah Alam,Selangor,3.0,2.0,2.0,2010.0,,435.0,VALID,NO_INVALIDITY_OR_REVIEW_FLAG,RETAIN,"OPTIONAL_MISSING_COUNT=2; retained with existing fold-safe handling unless another independent rule applies. | Passed critical, physical-domain, contradiction, repeat, and parsing checks.","alam prima shah alam for sale 0% downpayment 🔥🔥 0% downpayment🔥🔥 low booking (refundable if loan rejected) 🔥🔥 low booking (refundable if loan rejected) 🔥🔥 unit details: - 3 rooms 2 baths - 2 parkings - freehold facilities: badminton hall perimeter fencing main entrance multi-purpose hall recreation room 24 hours security swimming pool *** for serious buyer only*** - full loan applicable - lawyer and banker can be arranged - low deposit and booking please: call/sms/whatsapp/email for more information. thank you! - (kayden fong : show contact number ) (kayden fong : show contact number ) (kayden fong : show contact number ) email = ****@***.*** vestcom realty e(3)1484 d-10 (level 3) cheras centrepoint medan connaught, 56000 kuala lumpur. *** owner have unit can contact me as well *** continue reading property highlights new! bedroom 3 bathroom 2 property size 850 sq.ft. see more details",False,False,,False,False,False,False,False,False,0,True,2,[850.0],[],296465.1433609929,3534.8566390071064,4
